content,offset,samples,alpha,beta,gamma,delta,theta
2d6824c5156e235493eee53b10d7e31efdd84898.webm,8000,25,0.33798041,0.352879346,0.45343131,0.871102344,0.831058898
2d6824c5156e235493eee53b10d7e31efdd84898.webm,9000,20,0.385342775,0.504779628,0.151047608,0.688047985,0.175005273
2d6824c5156e235493eee53b10d7e31efdd84898.webm,10000,23,0.626314903,0.671007217,0.287433416,0.745483698,0.441358235
2d6824c5156e235493eee53b10d7e31efdd84898.webm,11000,22,0.750757175,0.685833338,0.447451558,0.294044119,0.719201866
2d6824c5156e235493eee53b10d7e31efdd84898.webm,12000,22,0.387984942,0.540608379,0.419595215,0.681938312,0.339690348
2d6824c5156e235493eee53b10d7e31efdd84898.webm,13000,23,0.716123919,0.736050021,0.478134445,0.711546466,0.545249463
2d6824c5156e235493eee53b10d7e31efdd84898.webm,14000,18,0.398419466,0.435059598,0.234185344,0.993766359,1.04667149
2d6824c5156e235493eee53b10d7e31efdd84898.webm,15000,21,0.370037936,0.345278061,0.275007713,0.386429296,0.769166755
2d6824c5156e235493eee53b10d7e31efdd84898.webm,16000,22,0.343749267,0.619490924,0.5526203,0.448974541,0.480396257
2d6824c5156e235493eee53b10d7e31efdd84898.webm,17000,23,0.663137023,0.780030941,0.518203248,0.662488893,0.837328141
2d6824c5156e235493eee53b10d7e31efdd84898.webm,18000,25,0.570224212,0.660057908,0.390914864,0.374691026,0.361477614
2d6824c5156e235493eee53b10d7e31efdd84898.webm,19000,20,1.027766251,0.971723854,0.69916691,0.761263473,0.570331425
2d6824c5156e235493eee53b10d7e31efdd84898.webm,20000,24,0.69070361,0.771541448,0.759643247,0.807912237,0.317999573
2d6824c5156e235493eee53b10d7e31efdd84898.webm,21000,22,0.405595026,0.768440797,0.527043835,0.396554062,0.944329189
2d6824c5156e235493eee53b10d7e31efdd84898.webm,22000,23,0.702001318,0.421996797,0.407762062,0.443506773,0.325165065
2d6824c5156e235493eee53b10d7e31efdd84898.webm,23000,22,0.284242667,0.245815006,0.348520662,0.326731243,0.305815917
2d6824c5156e235493eee53b10d7e31efdd84898.webm,24000,21,0.675639735,0.472027018,0.263378697,0.533210061,0.609230996
2d6824c5156e235493eee53b10d7e31efdd84898.webm,25000,19,0.347057218,0.440172967,0.311783855,0.430363956,0.066416527
2d6824c5156e235493eee53b10d7e31efdd84898.webm,26000,22,0.58531357,0.576454525,0.664429109,0.312842925,0.457909955
2d6824c5156e235493eee53b10d7e31efdd84898.webm,27000,23,0.572248072,0.66608236,0.787689264,0.393927075,0.509539309
2d6824c5156e235493eee53b10d7e31efdd84898.webm,28000,22,0.551946421,0.550735764,0.568173285,0.454712619,0.594096569
2d6824c5156e235493eee53b10d7e31efdd84898.webm,29000,20,0.261434955,0.574014536,0.498180049,0.069018571,0.16767521
2d6824c5156e235493eee53b10d7e31efdd84898.webm,30000,3,-0.183395144,0.173006781,0.630758849,-0.335839812,-0.317559828
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,0,18,0.745854318,0.437338333,0.629449524,0.879548261,0.985940091
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,1000,24,1.006578887,0.829536693,0.754668327,1.070320532,0.505562439
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,2000,23,0.780508924,1.019361449,0.672565716,0.993709089,0.725604464
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,3000,21,0.893873102,0.73709443,0.531000726,0.787226087,0.638561688
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,4000,18,0.200080652,0.615387802,0.89892709,0.865435694,0.45797654
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,5000,23,0.445390862,0.64453719,1.307749816,0.604051944,0.42243331
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,6000,25,1.466764392,1.590585586,1.667978428,0.554515188,0.98252322
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,7000,22,0.615399992,1.066966454,0.829919378,0.619361051,1.18222149
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,8000,24,0.594462484,0.745976272,0.643631594,0.421781537,0.55334868
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,9000,25,0.300660111,0.47405466,0.497260877,-0.055382634,0.123869392
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,10000,21,0.72220057,1.12420021,0.939584886,0.208668685,0.311730063
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,11000,18,0.416194543,0.539631954,0.581302622,0.220046337,0.721561471
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,12000,23,0.64388848,0.794896906,0.66876927,0.181381942,0.301037982
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,13000,22,0.6135165,0.748539843,0.749195532,0.530023078,0.888778876
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,14000,21,0.459048978,0.672305744,0.5537822,-0.046069735,0.206392319
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,15000,20,0.628533353,0.415400817,0.496524536,0.277643039,0.48962671
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,16000,25,1.052966097,0.808687711,0.735152406,0.63347057,1.004840671
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,17000,24,0.388678019,0.683665257,0.542663447,0.263522973,0.215713339
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,18000,23,0.396192993,0.73770275,0.471771976,0.316015775,0.174650282
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,19000,25,0.558162205,0.458995647,0.696796646,0.41440348,0.242660396
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,20000,20,0.660632368,0.695483392,0.688697082,0.274672411,0.599957161
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,21000,17,0.488644978,0.556634848,0.652027048,0.761664645,0.42732582
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,22000,24,0.566426341,0.510284955,0.575870875,0.66801097,0.415252599
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,23000,23,1.462647114,1.002786703,0.926337197,1.438904443,1.165655253
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,24000,19,0.623847316,0.562232778,0.790938914,0.674232207,0.536427194
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,25000,18,0.541807325,0.490123769,0.544910092,0.95813709,0.837340001
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,26000,23,0.83027953,0.557241511,0.320433667,0.725571722,0.450026463
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,27000,26,0.642860911,0.569400066,0.765479522,0.551474561,0.940874849
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,28000,20,0.517175342,0.837075416,0.722500708,0.234315426,0.559729822
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,29000,23,0.620321952,0.48793176,0.668252728,0.660397794,0.349195382
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,30000,22,0.419273072,0.415689729,0.347000786,0.273142649,0.212888112
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,31000,15,0.198918721,0.493169711,0.793720836,0.763430025,0.651513354
76f0d1a2ae7ecc137ffa6d9d745aa17127576982.webm,32000,1,-0.179555277,0.324804149,0.157820563,-0.388609597,-0.418329158
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,0,20,0.861382013,0.631758613,0.698125093,0.806267025,0.877583034
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,1000,25,0.527390654,0.855961998,0.857806432,0.546330959,0.696072366
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,2000,25,1.26789381,0.832071835,0.926038486,0.561403903,0.687036848
24dc3ea73907e4c00d65a8825f431758c5c428d3.webm,3000,22,1.020298596,1.046337751,1.15687593,0.586664547,0.564280784
